Volume_Day_1,Volume_Day_2,Volume_Day_3,Open_Day_1,Open_Day_2,Open_Day_3,High_Day_1,High_Day_2,High_Day_3,Low_Day_1,Low_Day_2,Low_Day_3,Open_Current_Day,Date
45555300.0,37979570.0,27584020.0,115.2,111.38,114.92,115.57,114.24,115.05,112.27,111.0,113.32,115.76,2015-11-18
26604140.0,20514810.0,21827400.0,157.05,156.07,157.06,157.21,157.4,158.92,155.02,155.69,156.67,158.6,2017-08-08
14979680.0,30555900.0,28769220.0,116.45,116.65,115.8,117.11,117.2,116.33,116.4,115.43,114.76,115.85,2017-01-04
32879090.0,38612290.0,28364850.0,186.93,183.52,185.22,190.9,184.35,188.0,186.76,180.28,184.7,184.66,2019-05-22
49118510.0,41411350.0,31801970.0,224.94,223.52,225.75,225.0,228.35,226.84,219.84,222.57,222.52,222.15,2018-09-17
26645130.0,42250480.0,52955310.0,107.9,107.83,107.25,108.3,108.76,107.27,107.51,107.07,105.24,104.64,2016-09-09
24460850.0,28877500.0,23317990.0,95.7,96.49,96.75,96.5,96.89,97.65,95.62,96.05,96.73,97.17,2016-07-12
31774720.0,33291640.0,25289270.0,201.92,205.97,209.98,204.72,210.06,210.12,201.69,204.13,206.75,205.55,2018-11-09
23243160.0,19090050.0,18473070.0,193.25,194.79,196.45,196.5,196.37,197.1,193.15,193.14,195.93,196.42,2019-04-08
38116290.0,37425640.0,30237640.0,167.81,167.88,167.64,171.75,168.94,168.75,166.9,164.47,164.88,164.88,2018-04-04
26043820.0,14244050.0,18131970.0,116.35,115.59,116.52,116.51,116.52,117.8,115.64,115.59,116.49,117.52,2016-12-28
40323020.0,48032600.0,44811800.0,94.19,95.02,96.67,94.5,96.85,98.21,93.01,94.61,96.15,98.84,2016-02-18
26544720.0,33031360.0,32879090.0,186.27,189.91,186.93,191.75,192.47,190.9,186.02,188.84,186.76,183.52,2019-05-20
27316740.0,16935220.0,11362050.0,203.17,201.41,203.28,204.49,203.13,204.44,200.65,201.36,202.69,203.35,2019-07-05
46271660.0,36191330.0,41626820.0,188.39,190.5,190.0,191.97,194.97,190.7,186.9,189.46,184.99,178.37,2018-11-20
29282700.0,19029420.0,28962980.0,225.82,227.03,227.93,228.06,227.79,230.44,224.33,225.64,227.3,232.95,2019-10-11
22858840.0,25100510.0,21561320.0,173.41,174.78,175.03,175.0,175.84,176.19,173.04,173.85,174.83,176.49,2018-04-17
41156140.0,45941750.0,41523580.0,171.51,176.73,182.66,174.77,181.29,182.8,170.88,174.93,177.7,180.29,2018-11-30
31686450.0,24518850.0,32130360.0,174.94,175.48,177.96,175.85,177.12,180.0,174.27,175.07,177.39,180.29,2018-03-12
40387960.0,36505420.0,35783320.0,92.9,93.97,94.44,93.66,94.55,95.77,92.14,93.63,94.3,95.49,2016-07-01
44366140.0,35907770.0,25402270.0,149.99,151.78,153.8,151.83,153.92,154.72,149.16,151.69,153.54,153.89,2017-09-28
45547590.0,25763840.0,25820460.0,108.65,109.72,108.78,110.42,109.9,110.0,108.6,108.88,108.2,110.42,2016-04-04
24900130.0,24817940.0,31639010.0,106.62,105.8,105.66,107.44,106.5,106.57,106.29,105.5,105.64,106.14,2016-09-01
33753490.0,47597670.0,64398230.0,165.38,166.0,160.4,167.53,167.45,162.11,164.39,159.09,155.3,156.86,2018-12-21
52411070.0,29800240.0,24587490.0,114.42,111.64,113.0,114.79,113.39,113.18,111.55,111.55,112.34,113.69,2016-09-28
19782170.0,25184600.0,25649890.0,160.43,159.65,160.14,160.74,160.56,162.0,158.55,159.27,159.93,160.1,2017-08-29
45970470.0,55204920.0,73006780.0,129.08,130.97,132.85,129.62,132.97,132.92,128.31,130.7,130.32,121.99,2015-07-22
23913630.0,36928090.0,41662940.0,330.25,332.14,347.9,333.6,345.61,354.77,327.32,332.01,346.09,349.31,2020-06-11
31130520.0,34790520.0,37781330.0,244.76,247.24,249.54,245.3,249.17,255.93,241.21,237.26,249.16,257.33,2019-11-04
34154130.0,29706720.0,26356390.0,315.31,323.52,322.57,319.64,324.76,325.22,313.63,318.95,320.26,322.37,2020-02-07
20912890.0,37847260.0,67812280.0,191.9,190.3,199.13,192.2,192.14,201.76,189.07,189.34,197.31,200.58,2018-08-02
31440300.0,31003380.0,50943120.0,188.35,186.23,190.02,188.99,189.49,196.33,185.92,184.73,189.81,195.34,2019-03-22
54017920.0,40862120.0,52392970.0,213.9,205.53,197.99,218.03,206.43,198.65,206.74,201.63,192.58,196.31,2019-08-06
62317430.0,33408050.0,25396100.0,200.58,207.03,208.0,208.38,208.74,209.25,200.35,205.48,207.07,209.32,2018-08-07
41740600.0,34499390.0,35637070.0,157.5,158.53,154.89,158.52,159.36,158.85,154.55,156.48,154.23,143.98,2019-01-03
23191150.0,32417410.0,26320740.0,119.55,120.42,121.67,120.1,122.1,122.44,119.5,120.28,121.6,122.14,2017-01-27
24332120.0,24358920.0,29422610.0,173.91,174.66,175.11,175.25,176.24,176.1,173.6,174.33,173.14,175.11,2017-11-10
32426420.0,55548830.0,57668360.0,318.62,297.26,300.95,320.45,304.18,302.53,310.5,289.23,286.13,286.53,2020-02-26
45034370.0,35661200.0,26924630.0,151.29,152.5,152.88,154.53,153.97,153.7,149.63,150.86,151.51,150.85,2019-01-14
32345430.0,25686350.0,25568350.0,105.25,106.48,105.47,107.29,107.07,106.25,105.21,105.9,104.89,106.0,2016-03-28
29616190.0,33259460.0,30273990.0,154.2,157.5,156.41,157.66,157.88,156.73,153.26,155.98,152.62,154.15,2019-01-23
22267820.0,46882840.0,26066130.0,213.19,209.43,205.86,214.44,212.05,207.19,210.75,201.0,205.06,207.86,2019-08-27
21007650.0,21162560.0,20059570.0,208.5,210.16,206.43,209.32,210.45,206.98,206.66,207.2,204.22,208.39,2019-09-04
29748560.0,36529740.0,23714690.0,184.66,179.8,180.2,185.71,180.54,182.14,182.55,177.81,178.62,178.92,2019-05-28
25058280.0,40026250.0,38236730.0,101.91,103.96,104.61,102.91,105.18,106.31,101.78,103.85,104.59,105.52,2016-03-17
23492650.0,46820600.0,66028640.0,117.1,117.95,114.31,117.74,118.36,115.7,117.0,117.31,113.31,115.39,2016-10-27
39017490.0,26148590.0,31440300.0,184.85,185.8,188.35,187.33,188.39,188.99,183.74,185.79,185.92,186.23,2019-03-20
25938760.0,25400540.0,29461040.0,170.52,170.16,172.53,170.59,172.3,174.55,169.22,169.26,171.96,172.54,2018-01-04
39763300.0,21158140.0,18386470.0,220.0,217.73,219.96,220.79,220.13,220.82,217.02,217.56,219.12,221.06,2019-09-18
21918340.0,25108890.0,25784420.0,109.23,108.77,108.86,109.6,109.69,109.1,109.02,108.36,107.85,108.59,2016-08-23
16991610.0,27817640.0,27953810.0,173.71,173.21,174.32,175.3,175.0,174.91,173.17,172.73,172.92,174.28,2019-03-01
44182930.0,45579740.0,23345970.0,147.54,145.59,146.52,148.09,147.49,147.14,146.84,144.27,145.81,146.76,2017-05-05
41587090.0,33843130.0,25432390.0,300.35,313.17,315.03,307.9,316.5,318.52,300.21,310.32,313.01,316.68,2020-05-20
33031360.0,32879090.0,38612290.0,189.91,186.93,183.52,192.47,190.9,184.35,188.84,186.76,180.28,185.22,2019-05-21
26575570.0,31672220.0,37708360.0,98.5,98.53,98.69,99.99,99.35,99.12,98.46,98.48,97.1,97.32,2016-06-14
33559770.0,35987630.0,45970470.0,125.72,127.74,129.08,127.15,128.57,129.62,125.58,127.35,128.31,130.97,2015-07-20
21017560.0,21144040.0,64782910.0,155.02,155.25,155.19,155.98,155.54,155.19,154.48,154.4,146.02,145.74,2017-06-12
30483120.0,29616190.0,33259460.0,153.08,154.2,157.5,155.88,157.66,157.88,153.0,153.26,155.98,156.41,2019-01-22
42250480.0,52955310.0,46461610.0,107.83,107.25,104.64,108.76,107.27,105.72,107.07,105.24,103.13,102.65,2016-09-12
45247890.0,29264340.0,31203580.0,276.28,273.61,275.87,277.25,277.9,281.75,265.43,272.2,274.87,277.2,2020-04-24
34324350.0,26176690.0,43293350.0,112.31,113.29,113.84,114.7,115.0,115.92,112.31,112.49,113.75,115.04,2016-12-14
